Energy (eV),NI old
1.118990912,0.547443509
1.120001744,0.545829117
1.121014403,0.544122398
1.122028896,0.542719364
1.123045227,0.541374505
1.1240634,0.540113509
1.125083421,0.538951099
1.126105295,0.537665904
1.127129027,0.5366534
1.128154622,0.535851419
1.129182086,0.534915328
1.130211422,0.534252107
1.131242637,0.533493221
1.132275735,0.532848656
1.133310722,0.532278538
1.134347603,0.531768978
1.135386383,0.531342745
1.136427067,0.530886948
1.137469661,0.530604601
1.138514169,0.53027451
1.139560598,0.529973745
1.140608951,0.529664159
1.141659236,0.529371738
1.142711456,0.529180884
1.143765618,0.52904892
1.144821727,0.528860033
1.145879788,0.528775156
1.146939806,0.528565645
1.148001787,0.528520584
1.149065737,0.52851373
1.150131661,0.528522372
1.151199564,0.528693378
1.152269452,0.528760493
1.15334133,0.528858244
1.154415205,0.529308498
1.155491081,0.529636741
1.156568965,0.530055344
1.157648861,0.530367494
1.158730776,0.530735135
1.159814715,0.531127095
1.160900684,0.53143841
1.161988688,0.531537235
1.163078734,0.531603396
1.164170826,0.531576216
1.165264972,0.53135258
1.166361176,0.531107187
1.167459445,0.530718982
1.168559783,0.530376077
1.169662198,0.529954672
1.170766695,0.529682338
1.17187328,0.529318452
1.172981958,0.528974891
1.174092737,0.528668523
1.175205621,0.528335393
1.176320617,0.528214335
1.17743773,0.528097391
1.178556968,0.527927995
1.179678335,0.52777946
1.180801838,0.52759552
1.181927483,0.527414322
1.183055277,0.527373254
1.184185225,0.527149618
1.185317333,0.527011633
1.186451608,0.52679199
1.187588056,0.526803613
1.188726683,0.526835859
1.189867495,0.52681756
1.1910105,0.526901782
1.192155702,0.527009785
1.193303109,0.527131975
1.194452726,0.5275051
1.195604561,0.527804375
1.19675862,0.528164983
1.197914908,0.528562486
1.199073433,0.528795838
1.200234201,0.529176474
1.201397219,0.529305577
1.202562493,0.529396176
1.203730029,0.529506803
1.204899835,0.529541552
1.206071916,0.529526889
1.207246281,0.529376805
1.208422934,0.529045463
1.209601883,0.528849721
1.210783135,0.528428912
1.211966696,0.528042734
1.213152573,0.527690291
1.214340774,0.52722013
1.215531304,0.52679646
1.216724171,0.526394844
1.217919381,0.525970161
1.219116942,0.525447428
1.22031686,0.525023341
1.221519143,0.524758935
1.222723797,0.524293304
1.223930829,0.523907125
1.225140247,0.523522973
1.226352057,0.523021877
1.227566267,0.522650302
1.228782884,0.522293866
1.230001915,0.521813333
1.231223367,0.521476269
1.232447247,0.521150291
1.233673562,0.520613134
1.234902321,0.520256102
1.23613353,0.519765854
1.237367196,0.519305885
1.238603327,0.518702865
1.23984193,0.518248022
1.241083013,0.517701805
1.242326583,0.517179072
1.243572648,0.516641021
1.244821215,0.51594764
1.246072292,0.515335321
1.247325885,0.514742434
1.248582004,0.514132023
1.249840655,0.51342082
1.251101847,0.512770534
1.252365586,0.512037635
1.253631881,0.511316955
1.254900739,0.510515809
1.256172168,0.509828448
1.257446177,0.508961141
1.258722772,0.508140266
1.260001961,0.507357359
1.261283754,0.506423473
1.262568157,0.505351245
1.263855178,0.504434645
1.265144827,0.503360808
1.266437109,0.502218604
1.267732035,0.501143217
1.269029611,0.500005543
1.270329846,0.498993158
1.271632749,0.497714222
1.272938327,0.49647218
1.274246588,0.495288909
1.275557541,0.49405098
1.276871195,0.493117303
1.278187557,0.491914034
1.279506636,0.49085632
1.28082844,0.489851922
1.282152978,0.488875389
1.283480259,0.487972289
1.28481029,0.487239718
1.286143081,0.486411244
1.28747864,0.485769212
1.288816975,0.48500064
1.290158096,0.4843373
1.291502011,0.483859211
1.292848728,0.483246326
1.294198257,0.482589394
1.295550606,0.481998056
1.296905785,0.481527299
1.298263801,0.480876774
1.299624665,0.48019591
1.300988384,0.479524136
1.302354969,0.479012787
1.303724427,0.47835964
1.305096769,0.477814436
1.306472002,0.47721231
1.307850137,0.476535857
1.309231183,0.476060271
1.310615148,0.475625902
1.312002042,0.47520566
1.313391875,0.474654615
1.314784655,0.474215448
1.316180393,0.473816186
1.317579097,0.473392934
1.318980777,0.473042667
1.320385442,0.472571224
1.321793102,0.47217831
1.323203767,0.471831769
1.324617447,0.47154966
