Energy (eV),Suspended
1.118990912,0.253986239
1.120001744,0.255924463
1.121014403,0.257769018
1.122028896,0.259719163
1.123045227,0.26168111
1.1240634,0.263665795
1.125083421,0.265662521
1.126105295,0.267727554
1.127129027,0.269816548
1.128154622,0.27187264
1.129182086,0.273934841
1.130211422,0.276087254
1.131242637,0.278138638
1.132275735,0.28037864
1.133310722,0.282494366
1.134347603,0.284552395
1.135386383,0.286667854
1.136427067,0.2888892
1.137469661,0.290965885
1.138514169,0.293091327
1.139560598,0.295185626
1.140608951,0.297296763
1.141659236,0.299374163
1.142711456,0.301305562
1.143765618,0.303411245
1.144821727,0.30534482
1.145879788,0.307316899
1.146939806,0.309371173
1.148001787,0.311139286
1.149065737,0.313016057
1.150131661,0.314841658
1.151199564,0.316549718
1.152269452,0.318299294
1.15334133,0.320050657
1.154415205,0.321653903
1.155491081,0.323267311
1.156568965,0.324870437
1.157648861,0.326478064
1.158730776,0.328009099
1.159814715,0.329500318
1.160900684,0.331137538
1.161988688,0.332591683
1.163078734,0.334167689
1.164170826,0.335772246
1.165264972,0.337334216
1.166361176,0.339065284
1.167459445,0.340736955
1.168559783,0.342486709
1.169662198,0.344294429
1.170766695,0.346136391
1.17187328,0.348232418
1.172981958,0.350345761
1.174092737,0.352564722
1.175205621,0.35502398
1.176320617,0.357383847
1.17743773,0.359978229
1.178556968,0.362734288
1.179678335,0.365566045
1.180801838,0.368735403
1.181927483,0.371949464
1.183055277,0.37525183
1.184185225,0.378698051
1.185317333,0.382453054
1.186451608,0.386209786
1.187588056,0.390184939
1.188726683,0.394428283
1.189867495,0.398701638
1.1910105,0.403046489
1.192155702,0.407504827
1.193303109,0.412282616
1.194452726,0.417069167
1.195604561,0.422082305
1.19675862,0.427173227
1.197914908,0.432179004
1.199073433,0.437376201
1.200234201,0.442654192
1.201397219,0.44791919
1.202562493,0.453288347
1.203730029,0.458763957
1.204899835,0.4640311
1.206071916,0.469295979
1.207246281,0.474517763
1.208422934,0.479666144
1.209601883,0.484819651
1.210783135,0.490016937
1.211966696,0.494852245
1.213152573,0.499583185
1.214340774,0.503985047
1.215531304,0.508308947
1.216724171,0.512527168
1.217919381,0.516434073
1.219116942,0.520196915
1.22031686,0.523380995
1.221519143,0.526554167
1.222723797,0.529389679
1.223930829,0.531968355
1.225140247,0.534299016
1.226352057,0.536372304
1.227566267,0.53799963
1.228782884,0.539437115
1.230001915,0.540484428
1.231223367,0.541439354
1.232447247,0.542103887
1.233673562,0.542391837
1.234902321,0.542714
1.23613353,0.542667329
1.237367196,0.542464972
1.238603327,0.542178214
1.23984193,0.54170382
1.241083013,0.541212022
1.242326583,0.54062742
1.243572648,0.540094614
1.244821215,0.539426446
1.246072292,0.538844109
1.247325885,0.538231254
1.248582004,0.537771523
1.249840655,0.537353754
1.251101847,0.537171781
1.252365586,0.53709209
1.253631881,0.536816001
1.254900739,0.536933184
1.256172168,0.537037909
1.257446177,0.537356317
1.258722772,0.537649393
1.260001961,0.537876785
1.261283754,0.538290739
1.262568157,0.538701952
1.263855178,0.539131641
1.265144827,0.539583206
1.266437109,0.54000181
1.267732035,0.540500164
1.269029611,0.54072541
1.270329846,0.541102648
1.271632749,0.541299939
1.272938327,0.541496694
1.274246588,0.541653872
1.275557541,0.541652739
1.276871195,0.541634858
1.278187557,0.541563869
1.279506636,0.541577518
1.28082844,0.541493475
1.282152978,0.541407824
1.283480259,0.541318238
1.28481029,0.5412848
1.286143081,0.541040242
1.28747864,0.541063786
1.288816975,0.541103721
1.290158096,0.54103142
1.291502011,0.541167975
1.292848728,0.541197002
1.294198257,0.541457415
1.295550606,0.541535556
1.296905785,0.54171294
1.298263801,0.542064011
1.299624665,0.542241335
1.300988384,0.542439759
1.302354969,0.542474151
1.303724427,0.542574942
1.305096769,0.542551637
1.306472002,0.542354226
1.307850137,0.542041779
1.309231183,0.5416345
1.310615148,0.540923357
1.312002042,0.540084183
1.313391875,0.539017677
1.314784655,0.537755668
1.316180393,0.536341012
1.317579097,0.534509838
1.318980777,0.532579243
1.320385442,0.53044045
1.321793102,0.528099537
1.323203767,0.525502324
1.324617447,0.522898138
1.32603415,0.520092607
1.327453887,0.517247021
1.328876667,0.514346242
1.3303025,0.511251628
1.331731396,0.508122444
1.333163366,0.50504154
1.334598418,0.501913786
1.336036563,0.49883911
1.33747781,0.495941699
1.338922171,0.49315396
1.340369654,0.490211844
1.341820271,0.487427771
1.34327403,0.484667808
1.344730944,0.481964767
1.346191021,0.479384542
1.347654272,0.477023006
1.349120707,0.474548042
1.350590338,0.472041905
1.352063173,0.469710141
1.353539225,0.467379838
1.355018503,0.46509549
1.356501018,0.462928891
1.35798678,0.460631758
1.359475801,0.458212435
1.36096809,0.455836982
1.362463659,0.453384221
1.363962519,0.450960368
1.365464681,0.448346585
1.366970154,0.445768803
1.368478952,0.44307965
1.369991083,0.440005958
1.37150656,0.437002152
1.373025393,0.433874071
1.374547594,0.43058905
1.376073174,0.427508593
1.377602145,0.424066901
1.379134516,0.420477599
1.380670301,0.416955739
1.38220951,0.413253248
1.383752154,0.409478724
1.385298246,0.405926019
1.386847797,0.402107775
1.388400818,0.398405522
1.389957321,0.394514561
1.391517318,0.390805066
1.39308082,0.387052268
1.39464784,0.383264691
1.39621839,0.379814684
1.39779248,0.376186281
1.399370124,0.372608036
1.400951333,0.369113535
1.40253612,0.36575833
1.404124496,0.362439245
1.405716474,0.359381914
1.407312066,0.356336892
1.408911284,0.353438705
1.410514141,0.350533336
1.412120649,0.34783715
1.413730821,0.345216066
1.415344669,0.342755973
1.416962206,0.340550304
1.418583444,0.338306546
1.420208396,0.336094439
1.421837076,0.334112376
1.423469495,0.332027853
1.425105667,0.330211848
1.426745604,0.328578144
1.42838932,0.326890051
1.430036828,0.32521537
1.431688141,0.323678583
1.433343272,0.322089732
1.435002234,0.320663601
1.436665041,0.319294035
1.438331705,0.317954302
1.440002242,0.316562623
1.441676663,0.315198898
1.443354983,0.31386596
1.445037215,0.312443644
1.446723372,0.311319321
1.44841347,0.309999555
1.450107521,0.308757305
1.451805539,0.307476908
1.453507538,0.306233496
1.455213533,0.304972619
1.456923537,0.303665966
1.458637565,0.302431643
1.46035563,0.301415354
1.462077748,0.300161302
1.463803932,0.298982739
1.465534196,0.297803581
1.467268556,0.296712875
1.469007026,0.295470387
1.470749621,0.294398636
1.472496354,0.293325305
1.474247241,0.292286426
1.476002298,0.291058123
1.477761538,0.290099561
1.479524976,0.288999409
1.481292629,0.288070142
1.48306451,0.287081212
1.484840635,0.28579253
1.486621019,0.284855455
1.488405678,0.283925533
1.490194628,0.282855511
1.491987882,0.281975299
1.493785458,0.280997276
1.49558737,0.280025899
1.497393635,0.27916342
1.499204269,0.27824837
1.501019286,0.277145922
1.502838703,0.276288748
1.504662537,0.275352776
1.506490802,0.274412096
1.508323516,0.273637295
1.510160694,0.272913158
1.512002354,0.271791458
1.51384851,0.271011621
