Energy (eV),JH 99% metal
1.118990912,0.066759072
1.120001744,0.06688077
1.121014403,0.06706389
1.122028896,0.067255117
1.123045227,0.067421883
1.1240634,0.067631938
1.125083421,0.067671984
1.126105295,0.067862637
1.127129027,0.067969516
1.128154622,0.068156421
1.129182086,0.068397246
1.130211422,0.068555087
1.131242637,0.068729505
1.132275735,0.068906732
1.133310722,0.069150038
1.134347603,0.069311582
1.135386383,0.069509789
1.136427067,0.069680706
1.137469661,0.069963403
1.138514169,0.07018771
1.139560598,0.070412412
1.140608951,0.070519552
1.141659236,0.070765838
1.142711456,0.070968822
1.143765618,0.071179196
1.144821727,0.071314134
1.145879788,0.071586691
1.146939806,0.071791254
1.148001787,0.0720089
1.149065737,0.072211921
1.150131661,0.072393812
1.151199564,0.072637551
1.152269452,0.072893828
1.15334133,0.073162794
1.154415205,0.073395438
1.155491081,0.073572032
1.156568965,0.073791735
1.157648861,0.074059442
1.158730776,0.074350841
1.159814715,0.074501731
1.160900684,0.074787527
1.161988688,0.075038522
1.163078734,0.075290121
1.164170826,0.075427696
1.165264972,0.075631306
1.166361176,0.075878166
1.167459445,0.076140903
1.168559783,0.076350585
1.169662198,0.076550826
1.170766695,0.076815762
1.17187328,0.07702966
1.172981958,0.077243023
1.174092737,0.077560052
1.175205621,0.077776991
1.176320617,0.077995732
1.17743773,0.078219548
1.178556968,0.078438707
1.179678335,0.078615904
1.180801838,0.078768067
1.181927483,0.07904084
1.183055277,0.079287753
1.184185225,0.079508692
1.185317333,0.079722933
1.186451608,0.079993077
1.187588056,0.080154814
1.188726683,0.080391578
1.189867495,0.080580264
1.1910105,0.080758303
1.192155702,0.081049368
1.193303109,0.081246302
1.194452726,0.081518486
1.195604561,0.081788838
1.19675862,0.081927173
1.197914908,0.082061082
1.199073433,0.082344607
1.200234201,0.082479425
1.201397219,0.082722411
1.202562493,0.082940564
1.203730029,0.083103336
1.204899835,0.083312899
1.206071916,0.083468281
1.207246281,0.083681785
1.208422934,0.083920136
1.209601883,0.084133424
1.210783135,0.08423347
1.211966696,0.084469147
1.213152573,0.084620915
1.214340774,0.084749401
1.215531304,0.084883705
1.216724171,0.085126497
1.217919381,0.085288487
1.219116942,0.085515372
1.22031686,0.085663535
1.221519143,0.085839547
1.222723797,0.086007826
1.223930829,0.08620888
1.225140247,0.086327665
1.226352057,0.086551234
1.227566267,0.086622804
1.228782884,0.086718403
1.230001915,0.086925633
1.231223367,0.087078713
1.232447247,0.087313555
1.233673562,0.087473229
1.234902321,0.087544955
1.23613353,0.087693274
1.237367196,0.087759741
1.238603327,0.087893814
1.23984193,0.088058203
1.241083013,0.088202164
1.242326583,0.088343315
1.243572648,0.088500388
1.244821215,0.08871641
1.246072292,0.088794723
1.247325885,0.088941343
1.248582004,0.089071646
1.249840655,0.089216866
1.251101847,0.089368209
1.252365586,0.089406088
1.253631881,0.089556895
1.254900739,0.089783154
1.256172168,0.089943133
1.257446177,0.090059437
1.258722772,0.090138689
1.260001961,0.090325408
1.261283754,0.090376593
1.262568157,0.090529047
1.263855178,0.090608127
1.265144827,0.090797544
1.266437109,0.090811707
1.267732035,0.090982251
1.269029611,0.091079101
1.270329846,0.09115646
1.271632749,0.091318257
1.272938327,0.091403522
1.274246588,0.091572985
1.275557541,0.091666773
1.276871195,0.091756269
1.278187557,0.091857031
1.279506636,0.0919815
1.28082844,0.092051275
1.282152978,0.092149682
1.283480259,0.092228964
1.28481029,0.092349149
1.286143081,0.092490152
1.28747864,0.092573568
1.288816975,0.092701443
1.290158096,0.092842788
1.291502011,0.092985585
1.292848728,0.093018778
1.294198257,0.093097448
1.295550606,0.093192846
1.296905785,0.093167469
1.298263801,0.09315984
1.299624665,0.093173601
1.300988384,0.093115121
1.302354969,0.093078747
1.303724427,0.093051776
1.305096769,0.093055464
1.306472002,0.092941239
1.307850137,0.092873625
1.309231183,0.09292601
1.310615148,0.092777751
1.312002042,0.092855796
1.313391875,0.092843264
1.314784655,0.092817202
1.316180393,0.092913605
1.317579097,0.092932388
1.318980777,0.092933387
1.320385442,0.093011685
1.321793102,0.093005948
1.323203767,0.093061492
1.324617447,0.093195155
1.32603415,0.093266867
1.327453887,0.093350716
1.328876667,0.09333583
1.3303025,0.093420558
1.331731396,0.093549713
1.333163366,0.093682401
1.334598418,0.093701385
1.336036563,0.093722291
1.33747781,0.093842022
1.338922171,0.093920462
1.340369654,0.094009064
1.341820271,0.094236627
1.34327403,0.094313525
1.344730944,0.094463699
1.346191021,0.09447071
1.347654272,0.094580673
1.349120707,0.094760746
1.350590338,0.094893165
1.352063173,0.095021598
1.353539225,0.095070377
1.355018503,0.09538725
1.356501018,0.095392764
1.35798678,0.095509477
1.359475801,0.095730305
1.36096809,0.095769867
1.362463659,0.095967002
1.363962519,0.096127726
1.365464681,0.096270412
1.366970154,0.096379213
1.368478952,0.096448898
1.369991083,0.096622542
1.37150656,0.096830383
1.373025393,0.096947543
1.374547594,0.097137831
1.376073174,0.097256303
1.377602145,0.097357839
1.379134516,0.097506925
1.380670301,0.097683683
1.38220951,0.097939223
1.383752154,0.098049022
1.385298246,0.098132961
1.386847797,0.098325782
1.388400818,0.09846361
1.389957321,0.098635167
1.391517318,0.098819278
1.39308082,0.09884797
1.39464784,0.09890876
1.39621839,0.099003784
1.39779248,0.099135809
1.399370124,0.099260718
1.400951333,0.099448018
1.40253612,0.099437051
1.404124496,0.099510223
1.405716474,0.099583961
1.407312066,0.099588715
1.408911284,0.099679202
1.410514141,0.09982153
1.412120649,0.099827066
1.413730821,0.099849969
1.415344669,0.099873781
1.416962206,0.099924378
1.418583444,0.099946961
1.420208396,0.099998415
1.421837076,0.09996032
1.423469495,0.099953964
1.425105667,0.099965662
1.426745604,0.099877924
1.42838932,0.099762149
1.430036828,0.099842966
1.431688141,0.099615835
1.433343272,0.099448413
1.435002234,0.099491894
1.436665041,0.099487305
1.438331705,0.099498697
1.440002242,0.09941186
1.441676663,0.099372976
1.443354983,0.099445842
1.445037215,0.099377953
1.446723372,0.099253207
1.44841347,0.099399626
1.450107521,0.09923704
1.451805539,0.099030286
1.453507538,0.098969385
1.455213533,0.098571174
1.456923537,0.098606288
1.458637565,0.098477088
1.46035563,0.098386168
1.462077748,0.098466113
1.463803932,0.098666489
1.465534196,0.098885939
1.467268556,0.099379972
1.469007026,0.100062162
1.470749621,0.100593336
1.472496354,0.101385474
1.474247241,0.102392525
1.476002298,0.103273183
1.477761538,0.104506381
1.479524976,0.105742462
1.481292629,0.106858656
1.48306451,0.108097412
1.484840635,0.10935998
1.486621019,0.110864781
1.488405678,0.112224653
1.490194628,0.113802128
1.491987882,0.114854343
1.493785458,0.116494387
1.49558737,0.117873564
1.497393635,0.119333714
1.499204269,0.120616786
1.501019286,0.122065947
1.502838703,0.123613432
1.504662537,0.124825269
1.506490802,0.126186609
1.508323516,0.127751038
1.510160694,0.129216254
1.512002354,0.130824521
1.51384851,0.132165954
1.515699181,0.133798555
1.517554382,0.135216177
1.51941413,0.136589378
1.521278442,0.137608632
1.523147334,0.138534278
1.525020824,0.139628023
1.526898929,0.14061062
1.528781665,0.141564742
1.530669049,0.142676294
1.5325611,0.143529117
1.534457834,0.144571215
1.536359269,0.145630837
1.538265422,0.146691635
1.540176311,0.14762184
1.542091953,0.148676291
1.544012366,0.149699181
1.545937569,0.150651574
1.547867578,0.151707575
1.549802413,0.152706921
1.55174209,0.154618159
1.553686629,0.155473426
1.555636048,0.157626644
1.557590364,0.158871055
1.559549598,0.159996912
1.561513766,0.161690608
1.563482888,0.162793905
1.565456982,0.164630413
1.567436068,0.166973487
1.569420165,0.168169066
1.57140929,0.169829235
1.573403465,0.171866387
1.575402707,0.173413828
1.577407036,0.175047919
1.579416471,0.177667767
1.581431033,0.179296181
1.583450741,0.181033418
1.585475614,0.183322474
1.587505672,0.184936926
1.589540936,0.186700493
1.591581425,0.188827768
1.59362716,0.190744743
1.59567816,0.193221152
1.597734446,0.195250318
1.599796039,0.197307617
1.601862959,0.199902728
1.603935227,0.201615825
1.606012863,0.204149425
1.608095889,0.206333205
1.610184325,0.208540991
1.612278193,0.211374342
1.614377513,0.21346961
1.616482308,0.216253445
1.618592598,0.218611881
1.620708405,0.220747471
1.622829751,0.223541036
1.624956658,0.226074308
1.627089147,0.228280067
1.629227241,0.230378538
1.631370961,0.233045444
1.63352033,0.235610306
1.63567537,0.23849003
1.637836103,0.241247371
1.640002553,0.244251505
1.642174742,0.246831477
1.644352692,0.249187037
1.646536428,0.251643479
1.648725971,0.254409015
1.650921345,0.257860422
1.653122573,0.260293752
1.65532968,0.263289362
1.657542687,0.266343385
1.65976162,0.268974632
1.661986501,0.27243802
1.664217356,0.274969637
1.666454207,0.278339624
1.66869708,0.281612545
1.670945997,0.285036147
1.673200985,0.288506746
1.675462068,0.292187184
1.677729269,0.295706183
1.680002615,0.299704373
1.68228213,0.303529829
1.68456784,0.307577282
1.686859769,0.311539382
1.689157943,0.315678179
1.691462388,0.319987208
1.693773129,0.323778123
1.696090192,0.328148425
1.698413603,0.332011789
1.700743388,0.33606115
1.703079574,0.339809507
1.705422187,0.342998266
1.707771254,0.346156001
1.7101268,0.349439919
1.712488854,0.352594227
1.714857441,0.354859263
1.71723259,0.357222825
1.719614327,0.359711438
1.722002681,0.361709446
1.724397677,0.363363892
1.726799346,0.365166873
1.729207713,0.366341651
1.731622807,0.367189467
1.734044657,0.368240655
1.736473291,0.368866265
1.738908738,0.36921677
1.741351025,0.369444221
1.743800183,0.369623423
1.74625624,0.369519949
1.748719224,0.369106054
1.751189167,0.368859261
1.753666096,0.368465304
1.756150043,0.367738992
1.758641036,0.36657396
1.761139105,0.365706384
1.763644282,0.364813656
1.766156596,0.363585651
1.768676077,0.362217337
1.771202757,0.360666424
1.773736667,0.359429061
1.776277837,0.357962966
1.778826299,0.356537253
1.781382083,0.354910433
1.783945223,0.352927357
1.786515749,0.351392835
1.789093694,0.349816352
1.79167909,0.348231673
1.794271968,0.346661598
1.796872362,0.344922751
1.799480305,0.343766153
1.802095829,0.342465341
1.804718967,0.341160327
1.807349752,0.339997858
1.809988219,0.338616401
1.812634401,0.337766558
1.815288331,0.336271018
1.817950044,0.335763723
1.820619574,0.334525168
1.823296956,0.333657503
1.825982224,0.332309008
1.828675413,0.331274539
1.831376558,0.330358326
1.834085695,0.329123378
1.836802859,0.327952027
1.839528086,0.326738954
1.842261412,0.325499594
1.845002872,0.324208319
1.847752504,0.322897285
1.850510343,0.320984244
1.853276428,0.319168448
1.856050794,0.317694813
1.858833478,0.316006452
1.86162452,0.313953579
1.864423955,0.312314034
1.867231822,0.31007275
1.87004816,0.308168829
1.872873006,0.306063324
1.8757064,0.304344773
1.878548379,0.302373409
1.881398983,0.30031836
1.884258252,0.2985093
1.887126225,0.296765745
1.890002942,0.294510156
1.892888443,0.293039352
1.895782768,0.291175425
1.898685957,0.289502114
1.901598052,0.287603438
1.904519094,0.286171705
1.907449123,0.284613788
1.910388182,0.282891065
1.913336312,0.281155437
1.916293555,0.279761672
1.919259954,0.278238535
1.922235551,0.2765342
1.925220388,0.275262564
1.92821451,0.27391839
1.93121796,0.272586644
1.93423078,0.271055907
1.937253016,0.269723088
1.940284711,0.268643796
1.943325909,0.267358124
1.946376656,0.265931457
1.949436997,0.264659822
1.952506977,0.263810724
1.955586641,0.262457937
1.958676035,0.261639923
1.961775206,0.260262728
1.9648842,0.259221107
1.968003064,0.258485913
1.971131844,0.257317811
1.974270589,0.25648433
1.977419346,0.256023973
1.980578163,0.254598051
1.983747088,0.253829092
1.98692617,0.252820343
1.990115458,0.252151936
1.993315,0.251216203
1.996524847,0.250331044
1.999745049,0.249457985
2.002975654,0.248499081
2.006216715,0.247943535
2.009468282,0.247230962
2.012730406,0.246155486
2.016003138,0.245383397
2.019286531,0.244230792
2.022580636,0.243292064
2.025885507,0.24256368
2.029201195,0.241292805
2.032527754,0.240928903
2.035865238,0.239800811
2.039213701,0.238571748
2.042573196,0.237715319
2.045943779,0.236382693
2.049325504,0.235078514
2.052718427,0.234376639
2.056122604,0.233167917
2.05953809,0.231825709
2.062964942,0.230940595
2.066403217,0.229907751
2.069852972,0.22865808
2.073314264,0.227350816
2.076787153,0.226479009
2.080271695,0.225308031
2.08376795,0.224326387
2.087275977,0.223000586
2.090795835,0.221965879
2.094327585,0.220832124
2.097871286,0.219700769
2.101427,0.21895352
2.104994788,0.218035519
2.108574711,0.216672689
2.112166832,0.215798214
2.115771212,0.214723036
2.119387915,0.213553399
2.123017004,0.212721705
2.126658542,0.211726859
2.130312595,0.211072862
2.133979226,0.209836572
2.1376585,0.208860323
2.141350484,0.207955897
2.145055242,0.207245261
2.148772842,0.206360936
2.152503351,0.205714256
2.156246835,0.204636231
2.160003363,0.203541264
2.163773002,0.203132838
2.167555822,0.202209339
2.171351892,0.20175384
2.175161281,0.200597823
2.17898406,0.200090662
2.182820299,0.199287444
2.186670071,0.198800877
2.190533445,0.197727621
2.194410496,0.1972249
2.198301294,0.196795806
2.202205915,0.196121201
2.206124431,0.195665985
2.210056916,0.194917977
2.214003447,0.194356576
2.217964097,0.193864733
2.221938943,0.193193644
2.225928061,0.192522138
2.229931529,0.192104563
2.233949424,0.191361576
2.237981823,0.19101952
2.242028807,0.190540165
2.246090453,0.190015778
2.250166842,0.189460263
2.254258055,0.188991696
2.258364171,0.188460231
2.262485274,0.18767108
2.266621444,0.187022433
2.270772766,0.186716452
2.274939321,0.18647483
2.279121195,0.185782969
2.283318472,0.185442388
2.287531236,0.184831604
2.291759575,0.184249446
2.296003574,0.184164077
2.300263321,0.183615759
2.304538904,0.18317011
2.30883041,0.182616293
2.313137929,0.182387307
2.317461552,0.18195504
2.321801367,0.181612328
2.326157467,0.181443662
2.330529944,0.180974513
2.334918889,0.180658788
2.339324396,0.180484638
2.34374656,0.180125654
2.348185474,0.179998428
2.352641234,0.179595649
2.357113936,0.179571107
2.361603676,0.179140449
2.366110554,0.179159805
2.370634666,0.178883225
2.375176111,0.17856887
2.379734991,0.178314611
2.384311404,0.178222388
2.388905453,0.178270817
2.39351724,0.177790731
2.398146867,0.177828163
2.402794438,0.177544564
2.407460058,0.177354202
2.412143833,0.177423492
2.416845868,0.177354291
2.42156627,0.177459523
2.426305147,0.177014649
2.431062608,0.176645771
2.435838762,0.176739857
2.440633721,0.176510334
2.445447594,0.17641893
2.450280494,0.176342741
2.455132535,0.176462099
2.46000383,0.176224798
2.464894493,0.176395968
2.469804642,0.176413834
2.474734391,0.176603705
2.47968386,0.176828072
2.484653167,0.176566303
2.48964243,0.176931456
2.494651771,0.176940098
2.499681311,0.177295953
2.504731172,0.177488536
2.509801478,0.177760989
2.514892353,0.178011298
2.520003923,0.178395286
2.525136314,0.178651437
2.530289653,0.179040194
2.53546407,0.179206729
2.540659693,0.179677576
2.545876653,0.180059314
2.551115082,0.180139959
2.556375114,0.180669889
2.56165688,0.180605814
2.566960518,0.181257531
2.572286162,0.181177959
2.57763395,0.181770891
2.583004021,0.182018921
2.588396514,0.182400316
2.593811569,0.182503387
2.599249329,0.183013886
2.604709937,0.18361181
2.610193537,0.183722869
2.615700274,0.184074447
2.621230296,0.185036197
2.62678375,0.185482353
2.632360786,0.186063424
2.637961553,0.186511219
2.643586205,0.18693082
2.649234893,0.187447697
2.654907773,0.188236594
2.660605,0.188890517
2.666326731,0.18945089
2.672073125,0.19040823
2.677844341,0.190554246
2.683640541,0.191492945
2.689461887,0.191991776
2.695308544,0.192457259
2.701180676,0.193009794
2.70707845,0.193737611
2.713002035,0.194402695
2.718951601,0.195142478
2.724927319,0.196356446
2.730929361,0.19665724
2.736957903,0.197644249
2.74301312,0.198690668
2.749095189,0.19983846
2.755204289,0.200734153
2.761340602,0.201724842
2.767504308,0.202923223
2.773695593,0.204167485
2.779914641,0.205283389
2.786161641,0.206479058
2.792436779,0.207541972
2.798740249,0.208951488
2.80507224,0.210230321
2.811432948,0.211635739
2.817822568,0.212844491
2.824241299,0.214025274
2.830689338,0.216030017
2.837166888,0.217720494
2.843674152,0.219829708
2.850211334,0.221747264
2.856778641,0.223999739
2.863376282,0.226061106
2.870004468,0.228141025
2.876663411,0.230824128
2.883353326,0.233865306
2.890074429,0.23643136
2.896826939,0.239663869
2.903611077,0.242089257
2.910427066,0.24512431
2.91727513,0.247931078
2.924155496,0.249978587
2.931068393,0.252944857
2.938014052,0.255314618
2.944992708,0.258017361
2.952004595,0.259670705
2.959049952,0.261774898
2.966129019,0.263373137
2.973242039,0.265619725
2.980389255,0.268034935
2.987570916,0.270291656
2.994787271,0.272369802
3.002038572,0.275516689
3.009325073,0.278667122
3.016647032,0.282718539
3.024004708,0.287110984
3.031398362,0.291677505
3.03882826,0.296520025
3.046294669,0.301899135
3.053797857,0.306893677
3.061338099,0.311452895
3.068915669,0.31694302
3.076530844,0.320597231
3.084183906,0.323847264
3.091875137,0.326034814
3.099604825,0.326584697
