100x_HR25-042_Raw_A_1,
Wavelength (nm),Abs
1062,0.3686490953
1061,0.3690373898
1060,0.3693445623
1059,0.3693635166
1058,0.3691385686
1057,0.3687937856
1056,0.3682163954
1055,0.3676453829
1054,0.3671429455
1053,0.3664970398
1052,0.366006732
1051,0.3655129075
1050,0.3651991487
1049,0.3650114536
1048,0.3648426831
1047,0.3647528887
1046,0.3648297191
1045,0.3649529517
1044,0.3651618063
1043,0.3653475344
1042,0.3656323254
1041,0.3660427034
1040,0.3664559722
1039,0.3669076264
1038,0.3675588667
1037,0.368252039
1036,0.3690621257
1035,0.3698928356
1034,0.3708280027
1033,0.3716079891
1032,0.3724004924
1031,0.3730786741
1030,0.373514384
1029,0.373724103
1028,0.373722136
1027,0.3734419048
1026,0.3729820549
1025,0.3722369671
1024,0.37143749
1023,0.3703900874
1022,0.3693051934
1021,0.3682046533
1020,0.3671080768
1019,0.3660034835
1018,0.3650594354
1017,0.3640959859
1016,0.3634454012
1015,0.3628098071
1014,0.3622696102
1013,0.3618628979
1012,0.3615214825
1011,0.361366719
1010,0.3613692522
1009,0.3613784313
1008,0.3614883125
1007,0.3617299199
1006,0.3619638085
1005,0.3623992801
1004,0.3627126217
1003,0.3631132841
1002,0.3635965884
1001,0.3640500605
1000,0.3645379245
999,0.3649550378
998,0.3655102849
997,0.3660923541
996,0.3665464222
995,0.3671588898
994,0.3677251637
993,0.3683995008
992,0.3692570627
991,0.3700853586
990,0.3711730242
989,0.3722366095
988,0.373552978
987,0.3748788834
986,0.3761980236
985,0.3775749803
984,0.3787742257
983,0.3799107671
982,0.3808961511
981,0.3816681206
980,0.3821080923
979,0.3823421896
978,0.3823018968
977,0.3820437789
976,0.3815401495
975,0.3809355199
974,0.3802973926
973,0.3794923127
972,0.3788397312
971,0.3782664537
970,0.3777854741
969,0.3774415553
968,0.3772072196
967,0.3771954775
966,0.3772369325
965,0.3774520457
964,0.3776630759
963,0.3779057264
962,0.3782316744
961,0.3784713447
960,0.3785083294
959,0.3784621656
958,0.3783684373
957,0.3781237304
956,0.377740711
955,0.3773094416
954,0.3767951429
953,0.3761943281
952,0.3756540716
951,0.3750501573
950,0.3744647205
949,0.3740299642
948,0.3735558987
947,0.3731045425
946,0.372874409
945,0.3724476099
944,0.372181505
943,0.371984601
942,0.3719041049
941,0.3717796504
940,0.3715741634
939,0.3716074824
938,0.3715877533
937,0.3715985417
936,0.3715988398
935,0.3716717958
934,0.3717856705
933,0.371819973
932,0.3720076084
931,0.3722621799
930,0.3725447059
929,0.3728485405
928,0.3732779026
927,0.3735816479
926,0.3740259707
925,0.3744425476
924,0.3750133216
923,0.3754267991
922,0.3758628666
